standards_from_fairshare_search,link,github_page,platform_used,purpose,does_this_format_allow_editing,stored_in_repository?,which_repository
Plant occurrence and status scheme,https://github.com/tdwg/prior-standards/tree/master/poss,yes,github,conveying information,no,no,not in repository
Plant names in botanical databases,https://github.com/tdwg/prior-standards/tree/master/plant-names-in-botanical-databases,yes,github,conveying information,no,no,not in repository
World geographical scheme for recording plant distributions,https://github.com/tdwg/wgsrpd,yes,github,conveying information,no,no,not in repository
Apollo-SV,https://github.com/ApolloDev/apollo-sv,yes,github,editing documents,yes,no,not in repository
OATH,https://github.com/aaronpk/oauth.net,yes,github,editing documents together that get displayed on oath's website,yes,no,not in repository
DataONE - Education (62 repos we picked education repo),https://github.com/DataONEorg/Education,yes,github,editing documents | releasing version,yes,no,not in repository
University of New Mexico RSD (40 repos | so chose R educational material),https://github.com/unmrds/R-data-cleaning,yes,github,editing documents,yes,no ,not in repository
D-lab,https://github.com/dlab-berkeley,yes,github,editing documents,yes,no,not in repository
CUAHSI,https://github.com/cuahsi,yes,github,conveying information,yes,no,not in repository
Darwin Core,https://github.com/tdwg/dwc,yes,github,,,,
EML,https://github.com/NCEAS/eml,yes,github,,,,
Ecological Trait Data Standard,https://github.com/EcologicalTraitData/ETS,yes,github,,,,
MIxS,https://github.com/GenomicsStandardsConsortium/mixs,yes,github,,,,
IGSN,https://github.com/IGSN/metadata,yes,github,,,,
NMDC,https://github.com/microbiomedata/nmdc-metadata,yes,github,,,,
Science-on-schema.org,https://github.com/ESIPFed/science-on-schema.org//,yes,github,,,,
GBIF (154 repos | we picked one about documentation),https://github.com/gbif/doc-documentation-guidelines,yes,github,,,,
Open Geospatial Consortium (183 repos | we picked Weather on the Web repo),https://github.com/opengeospatial/weather-on-the-web,yes,github,,,,
Environmental Data Initative (metadata templates repo),https://github.com/EDIorg/MetadataTemplates,yes,github,,,,
ENVO,https://github.com/EnvironmentOntology/envo,yes,github,,,,
ODM2,https://github.com/ODM2/ODM2,yes,github,,,,
